,HJ2A_1,HJ2A_2,HJ2A_3,HJ2A_4,HJ2A_5
79,0.08721,0.13533,0.15486,0.05258,0.1295
80,0.09007,0.13826,0.15773,0.05875,0.1345
81,0.09793,0.14494,0.16516,0.06894,0.14286
82,0.10307,0.15237,0.16965,0.07068,0.1442
83,0.08452,0.1309,0.14789,0.05619,0.12303
84,0.10197,0.14912,0.17215,0.07681,0.15209
85,0.09441,0.14195,0.16388,0.06634,0.14138
86,0.08566,0.13426,0.155,0.05654,0.13157
87,0.1089,0.15728,0.17955,0.08686,0.16045
88,0.09573,0.14399,0.16523,0.06766,0.14133
89,0.37692,0.42039,0.46038,0.36158,0.43937
90,0.10492,0.15157,0.17217,0.08531,0.15327
91,0.11828,0.16242,0.17805,0.10251,0.15363
92,0.10826,0.14719,0.16036,0.09357,0.13801
93,0.11879,0.16182,0.17758,0.10972,0.15608
94,0.10693,0.14671,0.16171,0.09931,0.13871
95,0.10856,0.14996,0.16035,0.09163,0.13634
96,0.11384,0.15849,0.17594,0.10465,0.15097
97,0.10579,0.14536,0.16081,0.09817,0.13967
98,0.12272,0.16531,0.17737,0.10763,0.15397
99,0.14433,0.19038,0.20536,0.1336,0.1792
100,0.11524,0.15816,0.17338,0.10741,0.15195
101,0.09972,0.14201,0.15466,0.08446,0.12816
102,0.10276,0.1439,0.15941,0.09185,0.13642
103,0.09444,0.13586,0.14945,0.07715,0.12217
104,0.17587,0.22178,0.23763,0.16239,0.21004
105,0.16895,0.21682,0.23117,0.15193,0.20633
106,0.2475,0.2991,0.31596,0.24016,0.29207
107,0.2846,0.33584,0.35449,0.28443,0.33265
108,0.0671,0.10575,0.11514,0.04937,0.09526
109,0.06443,0.1003,0.1081,0.04106,0.08617
110,0.06276,0.10062,0.10525,0.04198,0.08351
111,0.06845,0.10785,0.11521,0.05019,0.09429
112,0.05892,0.09983,0.10422,0.04095,0.08078
113,0.05877,0.09131,0.09256,0.03423,0.07163
114,0.05619,0.08628,0.08759,0.03309,0.06843
115,0.0573,0.09594,0.10095,0.03739,0.07814
116,0.06294,0.10496,0.11347,0.04653,0.0899
117,0.06454,0.10639,0.11562,0.04633,0.09162
118,0.05513,0.09505,0.10242,0.03668,0.07961
119,0.06636,0.10137,0.10951,0.03892,0.08605
120,0.05822,0.09618,0.10451,0.0365,0.08132
121,0.065,0.10274,0.10983,0.03973,0.08657
122,0.05785,0.09448,0.10248,0.0363,0.07939
123,0.06884,0.1121,0.12677,0.04807,0.10249
124,0.05667,0.09173,0.09654,0.02917,0.0724
125,0.06798,0.11194,0.12003,0.04359,0.0948
126,0.11224,0.16177,0.17448,0.09931,0.15027
127,0.07251,0.11734,0.12802,0.05016,0.10176
128,0.05739,0.09736,0.10201,0.03057,0.07585
129,0.05684,0.09629,0.1012,0.02946,0.07522
130,0.05797,0.09581,0.10055,0.03542,0.0769
131,0.06636,0.10965,0.11911,0.04241,0.09236
132,0.05976,0.10132,0.1086,0.03811,0.08341
133,0.05196,0.08849,0.09295,0.02981,0.07058
134,0.05412,0.09108,0.09991,0.03031,0.07563
135,0.0621,0.10124,0.11102,0.02981,0.08357
136,0.062,0.10237,0.10872,0.02989,0.08144
137,0.05431,0.09129,0.09748,0.03098,0.07473
138,0.05677,0.0975,0.1067,0.03344,0.08111
139,0.06354,0.10684,0.1166,0.0351,0.08986
140,0.0608,0.10312,0.11186,0.0349,0.086
141,0.05924,0.09923,0.10888,0.03481,0.08493
142,0.05185,0.086,0.09346,0.03237,0.07218
143,0.05813,0.09523,0.1042,0.03933,0.08028
144,0.05446,0.09238,0.10144,0.03667,0.07955
145,0.04678,0.08119,0.08671,0.02872,0.06421
146,0.04528,0.0764,0.08112,0.02592,0.05956
147,0.04528,0.07563,0.08423,0.02541,0.06153
148,0.0386,0.0695,0.07733,0.02271,0.05583
149,0.06956,0.11009,0.12102,0.05763,0.09716
150,0.04387,0.07772,0.0854,0.0285,0.06232
151,0.05151,0.08632,0.09823,0.03455,0.0719
152,0.05034,0.08381,0.09197,0.03188,0.06778
153,0.04594,0.0822,0.09994,0.02783,0.07332
154,0.06549,0.10105,0.11197,0.04702,0.08638
155,0.05494,0.09116,0.10089,0.03838,0.07629
156,0.0573,0.09188,0.10833,0.04637,0.08235
157,0.04993,0.08616,0.10256,0.03448,0.07648
158,0.05644,0.09333,0.11528,0.04506,0.09083
159,0.04416,0.07074,0.09163,0.04642,0.07492
160,0.04421,0.0711,0.09129,0.04318,0.07496
161,0.04375,0.0701,0.08894,0.03997,0.07211
162,0.04224,0.06858,0.08994,0.03824,0.07013
163,0.04248,0.06959,0.09125,0.03519,0.07149
164,0.0435,0.07201,0.09349,0.03336,0.07107
165,0.04443,0.0719,0.08938,0.03633,0.07196
166,0.04553,0.07399,0.0921,0.03825,0.07494
167,0.04386,0.0729,0.0889,0.03237,0.071
168,0.04881,0.0794,0.09945,0.04541,0.08405
169,0.04867,0.07918,0.09911,0.04698,0.08333
170,0.04772,0.07576,0.09406,0.04474,0.07916
171,0.0488,0.07906,0.09844,0.04514,0.08249
172,0.03583,0.05841,0.06348,0.0164,0.04908
173,0.03457,0.05464,0.05762,0.01419,0.04387
174,0.02998,0.04552,0.04755,0.0124,0.03452
175,0.05183,0.07829,0.09216,0.03157,0.07681
176,0.05208,0.08029,0.09506,0.03193,0.07871
177,0.05192,0.07762,0.09233,0.0354,0.07814
178,0.04514,0.0709,0.08364,0.0277,0.06861
179,0.0549,0.08152,0.09333,0.03008,0.07871
180,0.05089,0.07915,0.09273,0.03171,0.07662
181,0.05122,0.07955,0.09147,0.03014,0.07258
182,0.02416,0.03423,0.03724,0.0104,0.02791
183,0.05025,0.07848,0.092,0.03148,0.07461
184,0.04483,0.07204,0.08348,0.02464,0.06634
185,0.04662,0.07476,0.0882,0.02881,0.07079
186,0.03868,0.06426,0.07861,0.03922,0.05991
187,0.04572,0.07318,0.08572,0.03074,0.06749
188,0.05152,0.07932,0.09333,0.03353,0.07805
189,0.03717,0.06085,0.06752,0.01688,0.04921
190,0.03754,0.06546,0.07895,0.04456,0.06034
191,0.01649,0.04227,0.05521,0.03599,0.04223
192,0.01886,0.04443,0.05797,0.03393,0.04436
193,0.01453,0.04034,0.05306,0.0351,0.03921
194,0.01376,0.03559,0.04668,0.02869,0.03478
195,0.01182,0.03478,0.04993,0.02497,0.03684
196,0.01501,0.03869,0.04861,0.03506,0.03763
197,0.01356,0.03574,0.04985,0.02387,0.03698
198,0.01506,0.03742,0.0509,0.02599,0.03786
199,0.01936,0.04278,0.0571,0.02914,0.04341
200,0.03159,0.05577,0.07092,0.03798,0.0537
201,0.02193,0.04667,0.06125,0.0333,0.04579
202,0.00948,0.01892,0.02553,0.00655,0.01847
203,0.00782,0.0176,0.02433,0.00787,0.01638
204,0.00506,0.0144,0.01989,0.00638,0.01299
205,0.00691,0.0165,0.02206,0.00728,0.01485
206,0.00985,0.01956,0.02453,0.00967,0.01692
207,0.00669,0.01669,0.0241,0.00887,0.01662
208,0.00901,0.01938,0.02532,0.01034,0.01684
209,0.01045,0.02408,0.02925,0.00839,0.02111
210,0.01023,0.02388,0.02956,0.00888,0.02149
211,0.012,0.02659,0.03357,0.01147,0.02529
212,0.00825,0.02194,0.02791,0.00804,0.02017
213,0.01238,0.02726,0.03114,0.00866,0.02194
214,0.01315,0.02851,0.03397,0.01248,0.02558
215,0.01186,0.02629,0.03378,0.01163,0.02539
216,0.01332,0.02734,0.03228,0.0096,0.02329
217,0.01254,0.02676,0.03189,0.00906,0.02293
218,0.01332,0.02801,0.03331,0.01151,0.02463
219,0.01312,0.02843,0.03388,0.0105,0.02476
220,0.01409,0.02944,0.03371,0.01125,0.02481
221,0.00877,0.01819,0.02039,0.00487,0.01389
222,0.0115,0.02306,0.0265,0.00644,0.01822
223,0.01206,0.0219,0.02422,0.0064,0.01691
224,0.01084,0.01842,0.0197,0.00536,0.01371
225,0.01288,0.02473,0.02671,0.00752,0.01847
226,0.0136,0.02653,0.02897,0.00877,0.02005
227,0.0133,0.02654,0.02902,0.00845,0.02018
228,0.01233,0.02519,0.02836,0.00767,0.01951
229,0.01256,0.02552,0.02949,0.00757,0.02013
230,0.01114,0.02097,0.02255,0.00674,0.01558
231,0.00994,0.01903,0.02069,0.00541,0.01436
232,0.01208,0.02387,0.02677,0.00676,0.01841
233,0.01282,0.02445,0.02759,0.00702,0.01896
234,0.00713,0.01387,0.01154,0.0023,0.00645
235,0.00672,0.01228,0.00888,0.00096,0.00461
236,0.00732,0.01287,0.0096,0.00142,0.00529
237,0.00705,0.01241,0.0099,0.00135,0.00565
238,0.00702,0.01357,0.0113,0.00125,0.00634
239,0.00745,0.01421,0.01182,0.00149,0.00663
240,0.00725,0.01434,0.01186,0.00136,0.00657
241,0.00751,0.01554,0.01316,0.00135,0.00723
242,0.00674,0.0131,0.01068,0.00141,0.006
243,0.00807,0.01625,0.01394,0.00256,0.00807
244,0.00825,0.01653,0.01381,0.00186,0.00764
245,0.00846,0.01621,0.01348,0.00387,0.008
246,0.00866,0.01643,0.01388,0.00499,0.0083
247,0.00796,0.01566,0.01302,0.00288,0.00741
248,0.00816,0.01567,0.0132,0.00223,0.00748
249,0.00802,0.01559,0.01297,0.0026,0.00732
250,0.00867,0.01761,0.01648,0.00225,0.00959
251,0.00783,0.0156,0.01374,0.00192,0.00784
252,0.00791,0.01566,0.0135,0.00222,0.00781
253,0.00794,0.01511,0.01297,0.00197,0.00741
254,0.01176,0.02245,0.02026,0.00383,0.01205
255,0.01208,0.02253,0.02037,0.00276,0.01192
256,0.01344,0.02533,0.02345,0.00338,0.01401
257,0.01194,0.0216,0.01951,0.00361,0.0114
258,0.01222,0.02176,0.02007,0.0043,0.01188
259,0.01263,0.02216,0.02339,0.00831,0.01458
260,0.01163,0.02055,0.01882,0.00339,0.01084
261,0.01019,0.01818,0.01487,0.00371,0.00859
262,0.01056,0.01838,0.01554,0.00392,0.00914
263,0.00902,0.01546,0.01371,0.00242,0.00781
264,0.00896,0.01677,0.01539,0.00282,0.00873
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,0.03687,0.05919,0.07475,0.02809,0.06106
278,0.03964,0.06511,0.08329,0.03155,0.06887
279,0.03822,0.06271,0.07772,0.02719,0.06178
280,0.04035,0.06523,0.08284,0.03293,0.06762
281,0.04163,0.06877,0.09036,0.03766,0.07759
282,0.04038,0.06824,0.0898,0.03417,0.0747
283,0.03638,0.0624,0.08345,0.0331,0.06762
284,0.03547,0.05967,0.08024,0.03375,0.06633
285,0.03622,0.06133,0.08477,0.03914,0.07043
286,0.0378,0.06284,0.08694,0.04017,0.07387
287,0.03586,0.06122,0.08318,0.03503,0.06778
288,0.03856,0.06474,0.08881,0.0394,0.07513
289,0.03845,0.06413,0.08607,0.03813,0.07306
290,0.04163,0.06926,0.09065,0.03686,0.0759
291,0.03894,0.06606,0.08363,0.03168,0.0668
292,0.0368,0.06357,0.08101,0.02854,0.06461
293,0.03503,0.05964,0.07523,0.02839,0.05909
294,0.03897,0.06157,0.07409,0.02602,0.05717
295,0.04276,0.07048,0.09369,0.04869,0.07611
296,0.05251,0.08158,0.1037,0.05889,0.08767
297,0.05605,0.08666,0.10876,0.06057,0.09193
298,0.04993,0.08027,0.10425,0.05094,0.08638
299,0.04581,0.07246,0.09145,0.03751,0.07507
300,0.04969,0.07932,0.10148,0.04627,0.08099
301,0.05907,0.0909,0.11334,0.0608,0.09741
302,0.0546,0.08573,0.10854,0.05574,0.09092
303,0.05419,0.08782,0.11172,0.04648,0.08998
304,0.05398,0.0864,0.10981,0.05612,0.09126
305,0.04741,0.07827,0.10979,0.04387,0.088
306,0.05256,0.08258,0.11348,0.04317,0.09298
307,0.0542,0.0866,0.12154,0.04944,0.1041
308,0.04968,0.08457,0.11742,0.03953,0.0966
309,0.05168,0.08312,0.11198,0.04071,0.09507
310,0.05054,0.08523,0.11735,0.04257,0.09833
311,0.05076,0.08357,0.11343,0.03829,0.096
312,0.04951,0.08255,0.11039,0.03396,0.0914
313,0.04957,0.08417,0.11291,0.03944,0.09421
314,0.04689,0.07711,0.10274,0.03591,0.08553
315,0.05272,0.08755,0.11848,0.04303,0.09675
316,0.08201,0.14681,0.17035,0.12029,0.11945
317,0.07576,0.13877,0.1518,0.405,0.108
318,0.08453,0.14138,0.15346,0.13608,0.10761
319,0.09059,0.14811,0.16345,0.12945,0.11417
320,0.05275,0.10224,0.11531,0.07885,0.08217
321,0.12653,0.15978,0.1593,0.08612,0.11125
322,0.06201,0.11385,0.13076,0.06362,0.09171
323,0.34838,0.40544,0.41633,0.31604,0.36486
324,0.05964,0.10993,0.12707,0.06631,0.08859
325,0.10708,0.15986,0.16733,0.17203,0.11938
326,0.0884,0.13918,0.14744,0.08497,0.10291
327,0.10809,0.15421,0.16047,0.06941,0.11344
328,0.06968,0.12378,0.1394,0.07131,0.09796
329,0.06738,0.11966,0.12899,0.14331,0.09201
330,0.06996,0.12743,0.14804,0.14432,0.1036
331,0.03584,0.10252,0.13693,0.17582,0.09119
332,0.12742,0.22804,0.28119,0.27742,0.17375
333,0.03175,0.07649,0.09207,0.14808,0.06047
334,0.06329,0.11489,0.12195,0.23858,0.08675
335,0.11072,0.17519,0.19946,0.20568,0.14138
336,0.10982,0.17675,0.21191,0.19281,0.14647
337,0.06355,0.11639,0.12887,0.14993,0.08929
338,0.07675,0.1311,0.14185,0.16071,0.09644
339,0.05059,0.11282,0.13646,0.20872,0.09642
340,0.1181,0.18332,0.20018,0.25796,0.14348
341,0.06491,0.11202,0.12842,0.18528,0.09022
342,0.05334,0.09754,0.112,0.10112,0.08213
343,0.32224,0.40286,0.40838,0.30957,0.34815
344,0.08537,0.16995,0.18787,0.22825,0.1134
345,0.04929,0.09768,0.12395,0.0721,0.08254
346,0.0485,0.10313,0.16269,0.05907,0.13653
347,0.07421,0.1363,0.15782,0.08799,0.10693
348,0.03748,0.06126,0.06689,0.03046,0.04856
349,0.05451,0.09798,0.11544,0.05444,0.0827
350,0.04264,0.08838,0.11058,0.10314,0.07666
351,0.04373,0.06035,0.0617,0.02299,0.05554
352,0.05307,0.07843,0.09258,0.04203,0.08556
353,0.04667,0.07024,0.07999,0.02974,0.07211
354,0.05053,0.07325,0.08488,0.04422,0.07785
355,0.05101,0.07349,0.07969,0.02817,0.0704
356,0.05309,0.07998,0.0955,0.04794,0.0874
357,0.0456,0.07232,0.08189,0.03048,0.07459
358,0.04418,0.07226,0.0805,0.02847,0.07141
359,0.05236,0.07586,0.08737,0.04165,0.07976
360,0.04784,0.06882,0.0775,0.03048,0.07034
361,0.05784,0.08505,0.09637,0.04018,0.08944
362,0.0553,0.0797,0.09202,0.04655,0.08617
363,0.06042,0.09364,0.0991,0.03894,0.0909
364,0.05412,0.07409,0.07802,0.03331,0.07143
365,0.04841,0.07602,0.08877,0.03624,0.08183
366,0.09456,0.09499,0.08861,0.03946,0.0783
367,0.11688,0.11562,0.10493,0.04721,0.08316
368,0.06029,0.07007,0.0747,0.03622,0.06326
369,0.08665,0.10215,0.11192,0.07319,0.09803
370,0.0798,0.10486,0.11166,0.06024,0.09994
371,0.07994,0.09557,0.09933,0.0466,0.08889
372,0.05347,0.06137,0.06091,0.0254,0.05262
373,0.07671,0.08507,0.08469,0.03762,0.07159
374,0.12027,0.16088,0.18278,0.09708,0.16464
375,0.098,0.11648,0.12724,0.07956,0.10861
376,0.08485,0.09461,0.09445,0.04081,0.08407
377,0.08154,0.09715,0.09985,0.04259,0.08839
378,0.06769,0.0801,0.08308,0.03406,0.07362
379,0.08878,0.09494,0.09366,0.04843,0.08147
380,0.04827,0.06328,0.07137,0.03009,0.05759
381,0.05971,0.0773,0.0857,0.03617,0.07407
382,0.07272,0.09452,0.10511,0.05013,0.09239
383,0.08551,0.0992,0.0977,0.03924,0.0849
384,0.08915,0.09735,0.09505,0.03896,0.08253
385,0.05932,0.08034,0.08607,0.03925,0.0793
386,0.04245,0.0551,0.05449,0.02527,0.0493
387,0.04369,0.05757,0.05724,0.02446,0.05156
388,0.04503,0.0603,0.065,0.02386,0.05411
389,0.04542,0.06305,0.06383,0.02286,0.05669
390,0.04438,0.06203,0.06243,0.02243,0.05454
391,0.09561,0.10153,0.12754,0.06533,0.11564
392,0.08264,0.09158,0.12064,0.05322,0.10663
393,0.0855,0.09302,0.12195,0.05464,0.10825
394,0.08294,0.08964,0.11677,0.05247,0.10354
395,0.10413,0.10161,0.12111,0.06153,0.10526
396,0.09904,0.09438,0.11263,0.06019,0.09582
397,0.07503,0.08511,0.11516,0.05006,0.10018
398,0.10539,0.1057,0.12958,0.06882,0.11249
399,0.07427,0.08476,0.11504,0.04463,0.09735
400,0.13381,0.14674,0.19283,0.08082,0.16522
401,0.13695,0.14421,0.19304,0.0867,0.17148
402,0.03238,0.0381,0.01239,0.0026,0.00592
403,0.05922,0.05306,0.02319,0.01063,0.0152
404,0.03929,0.02439,0.00874,0.00533,0.00615
405,0.04027,0.04088,0.01571,0.00564,0.00913
406,0.05515,0.05325,0.02257,0.00843,0.01396
407,0.02949,0.03249,0.00999,0.00162,0.00453
408,0.03002,0.03423,0.0112,0.00205,0.00504
409,0.05329,0.0518,0.0214,0.00883,0.01325
410,0.03672,0.04446,0.01481,0.00212,0.00649
411,0.05967,0.06359,0.03071,0.01653,0.02174
412,0.04264,0.05118,0.0206,0.00719,0.01202
413,0.05163,0.06291,0.02827,0.01117,0.01753
414,0.05232,0.05992,0.02726,0.01482,0.01914
415,0.0746,0.08255,0.04793,0.03346,0.03902
416,0.10554,0.11892,0.08118,0.06089,0.07077
417,0.0596,0.07447,0.03297,0.01482,0.02017
418,0.10041,0.11918,0.07408,0.05001,0.05855
419,0.02799,0.04801,0.05555,0.01566,0.04542
420,0.0309,0.04962,0.0576,0.01948,0.0487
421,0.02627,0.04704,0.05461,0.01561,0.04332
422,0.02476,0.04556,0.05247,0.01535,0.04039
423,0.02536,0.04196,0.04807,0.01448,0.03912
424,0.0265,0.04515,0.05124,0.01462,0.04121
425,0.02634,0.0443,0.04981,0.01409,0.04006
426,0.02598,0.04546,0.05155,0.01404,0.04086
427,0.02542,0.04447,0.0502,0.01475,0.0394
428,0.02427,0.04278,0.04886,0.0155,0.03845
429,0.02345,0.04134,0.04737,0.01432,0.03629
430,0.02456,0.0452,0.05237,0.01464,0.04038
431,0.02432,0.04451,0.05271,0.01389,0.04252
432,0.02761,0.04876,0.05585,0.01585,0.04415
433,0.04413,0.07304,0.06854,0.01225,0.04716
434,0.04398,0.07059,0.07643,0.0192,0.05856
435,0.05423,0.08161,0.09469,0.03465,0.08052
436,0.06074,0.09385,0.10833,0.039,0.09095
437,0.05698,0.08775,0.08066,0.012,0.05735
438,0.06147,0.09467,0.09182,0.017,0.06772
439,0.06721,0.10179,0.10884,0.02837,0.08812
440,0.06362,0.09647,0.10838,0.03448,0.09071
441,0.05808,0.08974,0.09714,0.02498,0.07772
442,0.05711,0.0875,0.09561,0.02588,0.07506
443,0.05678,0.0872,0.10374,0.03646,0.08621
444,0.06439,0.09755,0.11305,0.03814,0.09692
445,0.0611,0.09037,0.10723,0.04503,0.09202
446,0.05668,0.08327,0.10114,0.04761,0.08804
447,0.06308,0.09424,0.11356,0.0482,0.10156
448,0.06321,0.09365,0.11141,0.04906,0.10011
449,0.06271,0.09344,0.11467,0.05494,0.10385
450,0.05141,0.07723,0.09588,0.0472,0.08094
451,0.04647,0.07148,0.08528,0.03099,0.07004
452,0.04036,0.05911,0.06978,0.02913,0.0565
453,0.03666,0.05506,0.06079,0.01796,0.04628
454,0.03873,0.06077,0.06568,0.01533,0.05005
455,0.0337,0.05114,0.05428,0.01334,0.04086
456,0.03167,0.05213,0.06122,0.02746,0.04634
457,0.03373,0.05525,0.06543,0.02604,0.05
458,0.03325,0.05412,0.06331,0.02566,0.04845
459,0.03088,0.05113,0.06034,0.0222,0.04538
460,0.01739,0.03108,0.03608,0.011,0.02583
461,0.0157,0.02762,0.03069,0.00954,0.02235
462,0.01777,0.03092,0.0355,0.01097,0.02482
463,0.01917,0.03449,0.0405,0.01322,0.02894
464,0.0283,0.04945,0.06154,0.02707,0.04388
465,0.03262,0.05251,0.05783,0.01595,0.04156
466,0.03287,0.0541,0.07133,0.03246,0.04817
467,0.03809,0.05998,0.06366,0.01612,0.04737
468,0.03814,0.05996,0.06554,0.0179,0.05067
469,0.04017,0.06378,0.06919,0.01783,0.05263
470,0.03899,0.06343,0.07108,0.0201,0.05443
471,0.04281,0.0696,0.07773,0.02138,0.0594
472,0.04504,0.07531,0.08771,0.02587,0.06771
473,0.04529,0.0746,0.08537,0.02446,0.06554
474,0.04681,0.07569,0.08995,0.03105,0.07258
475,0.02919,0.05047,0.05886,0.01854,0.0439
476,0.03191,0.04516,0.01135,0.00067,0.00407
477,0.03226,0.04576,0.01104,0.00065,0.00391
478,0.03292,0.04719,0.01148,0.00066,0.00407
479,0.03171,0.04528,0.01115,0.00066,0.00398
480,0.03422,0.04751,0.01384,0.00285,0.00659
481,0.02707,0.04009,0.01051,0.00061,0.00375
482,0.02979,0.04351,0.01081,0.0006,0.00378
483,0.0313,0.04579,0.01126,0.00084,0.00405
484,0.03133,0.0458,0.01103,0.0006,0.0038
485,0.03243,0.04725,0.01115,0.00056,0.00377
486,0.0331,0.04813,0.0117,0.00064,0.00402
487,0.03442,0.04962,0.01189,0.00064,0.00407
488,0.03308,0.04827,0.01145,0.0006,0.00388
489,0.03208,0.04672,0.01121,0.00079,0.00397
490,0.03195,0.04675,0.01142,0.00071,0.004
491,0.03474,0.05,0.01205,0.00079,0.00423
492,0.03309,0.04739,0.01124,0.0006,0.00384
493,0.03299,0.04726,0.01123,0.00062,0.00386
494,0.02984,0.04298,0.01044,0.00066,0.00364
495,0.04227,0.06921,0.08279,0.04943,0.08711
496,0.03918,0.06505,0.07848,0.04706,0.08331
497,0.04187,0.06732,0.08041,0.05008,0.08558
498,0.0452,0.07127,0.08311,0.05174,0.08749
499,0.03898,0.06471,0.07742,0.04636,0.08166
500,0.04277,0.0699,0.0834,0.05092,0.08834
501,0.0409,0.06706,0.0803,0.04986,0.08561
502,0.04223,0.06924,0.08267,0.0494,0.08743
503,0.04157,0.06973,0.08223,0.04297,0.08466
504,0.03579,0.06211,0.07367,0.03664,0.07565
505,0.04753,0.07797,0.09344,0.0607,0.10049
506,0.04079,0.06827,0.08184,0.05197,0.08759
507,0.0462,0.07676,0.09077,0.05407,0.09583
508,0.04743,0.07555,0.08468,0.04092,0.08717
509,0.04666,0.07442,0.08421,0.043,0.08784
510,0.04844,0.07772,0.08971,0.05168,0.09564
511,0.04582,0.07293,0.08313,0.04414,0.08753
512,0.04671,0.07383,0.08334,0.04249,0.08704
513,0.04523,0.0727,0.08202,0.03967,0.08454
514,0.04638,0.07354,0.08282,0.04184,0.08562
515,0.04469,0.07122,0.08046,0.04179,0.08292
516,0.05746,0.08587,0.09305,0.05144,0.09592
517,0.05145,0.07976,0.08849,0.04817,0.09177
518,0.05292,0.08148,0.09057,0.05148,0.09476
519,0.04543,0.07175,0.0819,0.04616,0.0864
520,0.05822,0.09093,0.11511,0.03734,0.10255
521,0.05631,0.08928,0.11316,0.0374,0.10124
522,0.05676,0.08869,0.11158,0.03546,0.09941
523,0.04882,0.08083,0.10107,0.02649,0.08541
524,0.05892,0.0921,0.11575,0.03837,0.10445
