OID,Country,Zone,Lake name,Date and Time (UTC+8),Longitude,Latitude,Elevation_asl,Type,Platform,Formation,Hydrology,Area,,,,,,,,,,,,,,,,,,,,,,,
OID_114,China,4,Lake Chagan,2021_08_31 13:37:00,124.280859,45.2831,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_115,China,4,Lake Chagan,2021_08_31 13:48:00,124.307498,45.267275,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_116,China,4,Lake Chagan,2021_08_31 12:02:00,124.279435,45.244419,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_117,China,4,Lake Chagan,2021_08_31 11:50:00,124.247344,45.231146,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_118,China,4,Lake Chagan,2021_08_31 11:40:00,124.26725,45.214922,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_119,China,4,Lake Chagan,2021_08_31 11:23:00,124.308489,45.234561,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_120,China,4,Lake Chagan,2021_08_31 14:12:00,124.383722,45.238208,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_121,China,4,Lake Chagan,2021_08_31 11:11:00,124.349676,45.225962,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_122,China,4,Lake Chagan,2021_08_31 10:55:00,124.307678,45.207516,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_123,China,4,Lake Chagan,2021_08_31 10:42:00,124.28039,45.190821,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_124,China,4,Lake Chagan,2021_09_01 12:46:00,124.211996,45.304659,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_125,China,4,Lake Chagan,2021_09_01 13:01:00,124.257511,45.304572,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_126,China,4,Lake Chagan,2021_09_01 12:22:00,124.232224,45.284273,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_127,China,4,Lake Chagan,2021_09_01 12:33:00,124.211338,45.277707,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_128,China,4,Lake Chagan,2021_09_01 11:56:00,124.212654,45.250307,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_129,China,4,Lake Chagan,2021_09_01 13:16:00,124.280048,45.283705,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_130,China,4,Lake Chagan,2021_09_01 13:30:00,124.307153,45.266885,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_131,China,4,Lake Chagan,2021_09_01 11:15:00,124.273198,45.242758,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_132,China,4,Lake Chagan,2021_09_01 11:41:00,124.247349,45.230603,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_133,China,4,Lake Chagan,2021_09_01 11:30:00,124.272736,45.213162,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_134,China,4,Lake Chagan,2021_09_01 10:59:00,124.309163,45.232416,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_135,China,4,Lake Chagan,2021_09_01 13:43:00,124.350609,45.2522678,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_136,China,4,Lake Chagan,2021_09_01 14:10:00,124.383801,45.236216,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_137,China,4,Lake Chagan,2021_09_01 13:56:00,124.352221,45.2248,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_138,China,4,Lake Chagan,2021_09_01 10:47:00,124.301269,45.210308,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_139,China,4,Lake Chagan,2021_09_01 10:29:00,124.281485,45.191128,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_140,China,4,Lake Chagan,2021_09_01 10:15:00,124.326816,45.184379,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_141,China,4,Lake Chagan,2021_09_01 10:01:00,124.363139,45.20014,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_142,China,4,Lake Chagan,2021_09_01 09:49:00,124.389532,45.213533,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_143,China,4,Lake Chagan,2021_09_17 13:47:00,124.217463,45.301387,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_144,China,4,Lake Chagan,2021_09_17 13:19:00,124.238337,45.287211,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_145,China,4,Lake Chagan,2021_09_17 13:32:00,124.205376,45.279719,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_146,China,4,Lake Chagan,2021_09_17 12:52:00,124.215509,45.247551,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_147,China,4,Lake Chagan,2021_09_17 13:06:00,124.248042,45.267145,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_148,China,4,Lake Chagan,2021_09_17 14:14:00,124.277507,45.282462,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_149,China,4,Lake Chagan,2021_09_17 14:26:00,124.303897,45.262538,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_150,China,4,Lake Chagan,2021_09_17 12:14:00,124.279099,45.245506,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_151,China,4,Lake Chagan,2021_09_17 12:39:00,124.245633,45.229277,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_152,China,4,Lake Chagan,2021_09_17 12:27:00,124.266557,45.214681,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_153,China,4,Lake Chagan,2021_09_17 12:01:00,124.310529,45.235167,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_154,China,4,Lake Chagan,2021_09_17 14:53:00,124.382414,45.236246,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_155,China,4,Lake Chagan,2021_09_17 11:49:00,124.337258,45.227704,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_156,China,4,Lake Chagan,2021_09_17 11:33:00,124.303855,45.208461,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_157,China,4,Lake Chagan,2021_09_17 11:08:00,124.323038,45.183827,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_158,China,4,Lake Chagan,2021_09_17 10:55:00,124.363538,45.198903,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_159,China,4,Lake Chagan,2021_09_17 10:43:00,124.391854,45.213903,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_160,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_161,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_162,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_163,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_164,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_165,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_166,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_167,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_168,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_169,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_170,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_171,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_172,China,1,Lake Changdang,2022_11_02 10:27:25,119.5366588,31.59654233,0,III,1,1,1,81,,,,,,,,,,,,,,,,,,,,,,,
OID_173,China,5,Lake Chao,2023_11_01 09:48:00,117.7504,31.62073,5,IV,1,1,1,779,,,,,,,,,,,,,,,,,,,,,,,
OID_174,China,5,Lake Chao,2023_11_01 09:48:00,117.7504,31.62073,5,IV,1,1,1,779,,,,,,,,,,,,,,,,,,,,,,,
OID_175,China,5,Lake Chao,2023_11_01 09:48:00,117.7504,31.62073,5,IV,1,1,1,779,,,,,,,,,,,,,,,,,,,,,,,
OID_176,China,5,Lake Chao,2023_11_01 09:48:00,117.7504,31.62073,5,IV,1,1,1,779,,,,,,,,,,,,,,,,,,,,,,,
OID_177,China,5,Lake Chao,2023_11_01 09:48:00,117.7504,31.62073,5,IV,1,1,1,779,,,,,,,,,,,,,,,,,,,,,,,
